ticker,ccp,tag
aaon,CY2018,"226    RevenueFromContractWithCustomerIncludingAssess...
49                             RevenueFromRelatedParties
Name: (aaon, CY2018), dtype: object"
aaon,CY2019,"185    RevenueFromContractWithCustomerIncludingAssess...
43                             RevenueFromRelatedParties
Name: (aaon, CY2019), dtype: object"
aaon,CY2020,"170    RevenueFromContractWithCustomerIncludingAssess...
42                             RevenueFromRelatedParties
Name: (aaon, CY2020), dtype: object"
aaon,CY2021,"158    RevenueFromContractWithCustomerIncludingAssess...
39                             RevenueFromRelatedParties
Name: (aaon, CY2021), dtype: object"
aaon,CY2022,"148    RevenueFromContractWithCustomerIncludingAssess...
25                             RevenueFromRelatedParties
Name: (aaon, CY2022), dtype: object"
aasp,CY2010,"182     RevenueFromRelatedParties
1905                     Revenues
Name: (aasp, CY2010), dtype: object"
aasp,CY2011,"252     RevenueFromRelatedParties
1210                     Revenues
1369              SalesRevenueNet
Name: (aasp, CY2011), dtype: object"
aasp,CY2012,"284     RevenueFromRelatedParties
2276                     Revenues
1240              SalesRevenueNet
Name: (aasp, CY2012), dtype: object"
aasp,CY2013,"280     RevenueFromRelatedParties
2074                     Revenues
1139              SalesRevenueNet
Name: (aasp, CY2013), dtype: object"
aasp,CY2014,"255     RevenueFromRelatedParties
1011                     Revenues
Name: (aasp, CY2014), dtype: object"
aasp,CY2015,"227    RevenueFromRelatedParties
931                     Revenues
Name: (aasp, CY2015), dtype: object"
aat,CY2010,"83      ManagementFeesRevenue
2691                 Revenues
Name: (aat, CY2010), dtype: object"
aat,CY2011,"95      ManagementFeesRevenue
3558                 Revenues
Name: (aat, CY2011), dtype: object"
aat,CY2012,"110     ManagementFeesRevenue
3340                 Revenues
Name: (aat, CY2012), dtype: object"
aat,CY2013,"102     ManagementFeesRevenue
3200                 Revenues
Name: (aat, CY2013), dtype: object"
aat,CY2016,"1090    RevenueFromContractWithCustomerExcludingAssess...
2643                                             Revenues
Name: (aat, CY2016), dtype: object"
aat,CY2017,"1596    RevenueFromContractWithCustomerExcludingAssess...
2764                                             Revenues
Name: (aat, CY2017), dtype: object"
aat,CY2018,"1950    RevenueFromContractWithCustomerExcludingAssess...
2252                                             Revenues
Name: (aat, CY2018), dtype: object"
aat,CY2019,"1921    RevenueFromContractWithCustomerExcludingAssess...
1850                                             Revenues
Name: (aat, CY2019), dtype: object"
aat,CY2020,"1878    RevenueFromContractWithCustomerExcludingAssess...
1716                                             Revenues
Name: (aat, CY2020), dtype: object"
aat,CY2021,"1796    RevenueFromContractWithCustomerExcludingAssess...
1604                                             Revenues
Name: (aat, CY2021), dtype: object"
aat,CY2022,"1682    RevenueFromContractWithCustomerExcludingAssess...
1456                                             Revenues
Name: (aat, CY2022), dtype: object"
aat,CY2023,"420    RevenueFromContractWithCustomerExcludingAssess...
329                                             Revenues
Name: (aat, CY2023), dtype: object"
aatc,CY2009,"1753          Revenues
88      RoyaltyRevenue
Name: (aatc, CY2009), dtype: object"
aatc,CY2010,"3014          Revenues
143     RoyaltyRevenue
Name: (aatc, CY2010), dtype: object"
aatc,CY2011,"1236          Revenues
177     RoyaltyRevenue
Name: (aatc, CY2011), dtype: object"
aatc,CY2012,"3771          Revenues
193     RoyaltyRevenue
Name: (aatc, CY2012), dtype: object"
aatc,CY2013,"3637          Revenues
187     RoyaltyRevenue
Name: (aatc, CY2013), dtype: object"
aatc,CY2014,"1030          Revenues
171     RoyaltyRevenue
Name: (aatc, CY2014), dtype: object"
aatc,CY2015,"949          Revenues
153    RoyaltyRevenue
Name: (aatc, CY2015), dtype: object"
aatc,CY2016,"1069          Revenues
137     RoyaltyRevenue
Name: (aatc, CY2016), dtype: object"
aatc,CY2017,"812     RevenueFromContractWithCustomerIncludingAssess...
1130                                             Revenues
114                                        RoyaltyRevenue
Name: (aatc, CY2017), dtype: object"
aatc,CY2018,"362    RevenueFromContractWithCustomerIncludingAssess...
966                                             Revenues
Name: (aatc, CY2018), dtype: object"
aatc,CY2019,"298    RevenueFromContractWithCustomerIncludingAssess...
797                                             Revenues
Name: (aatc, CY2019), dtype: object"
aatc,CY2020,"270    RevenueFromContractWithCustomerIncludingAssess...
732                                             Revenues
Name: (aatc, CY2020), dtype: object"
aatc,CY2021,"253    RevenueFromContractWithCustomerIncludingAssess...
688                                             Revenues
Name: (aatc, CY2021), dtype: object"
aatp,CY2018,"1033                                     ProfessionalFees
2608    RevenueFromContractWithCustomerExcludingAssess...
Name: (aatp, CY2018), dtype: object"
aatp,CY2019,"2618    RevenueFromContractWithCustomerExcludingAssess...
300                             RevenueFromRelatedParties
Name: (aatp, CY2019), dtype: object"
aatp,CY2020,"2564    RevenueFromContractWithCustomerExcludingAssess...
268                             RevenueFromRelatedParties
2326                                             Revenues
Name: (aatp, CY2020), dtype: object"
aatp,CY2021,"2460    RevenueFromContractWithCustomerExcludingAssess...
243                             RevenueFromRelatedParties
Name: (aatp, CY2021), dtype: object"
aawh,CY2019,"985     ProfessionalFees
2668            Revenues
Name: (aawh, CY2019), dtype: object"
aawh,CY2020,"962     ProfessionalFees
2454            Revenues
Name: (aawh, CY2020), dtype: object"
aawh,CY2021,"908     ProfessionalFees
2305            Revenues
Name: (aawh, CY2021), dtype: object"
aawh,CY2022,"788     ProfessionalFees
2048            Revenues
Name: (aawh, CY2022), dtype: object"
